commit	val_bpb	memory_gb	status	description
5ca216e	1.337672	0.0	keep	baseline
4c0a919	1.327269	0.0	keep	WARMDOWN_RATIO 0.5→0.2
9dbd99f	1.315195	0.0	keep	TOTAL_BATCH_SIZE 2^16→2^15 (more steps)
199ea95	1.356326	0.0	discard	DEPTH=8 ASPECT_RATIO=32 (deeper same width)
320a422	1.323691	0.0	discard	TOTAL_BATCH_SIZE 2^14 DEVICE_BATCH_SIZE=8 (too noisy)
0101104	1.331201	0.0	discard	WARMDOWN_RATIO 0.2→0.1 (too little cooldown)
4639164	1.351916	0.0	discard	HEAD_DIM=64 4 heads (smaller heads hurt quality)
dc862b9	1.301823	0.0	keep	MATRIX_LR 0.04→0.06
d119459	1.319622	0.0	discard	MATRIX_LR 0.06→0.08 (too high)
ce3aa7d	1.304033	0.0	discard	WEIGHT_DECAY 0.2→0.1 (marginal worse)
392bc55	1.323223	0.0	discard	DEPTH=6 ASPECT_RATIO=42 (fewer steps dominate)
2717f94	1.337794	0.0	discard	disable value embeddings (VE critical for quality)
9f1b381	1.313837	0.0	discard	WARMUP_RATIO=0.05 (reduces peak LR time)
df62ac9	1.306382	0.0	discard	ADAM_BETAS beta1 0.8→0.85 (marginal worse)
fcb790a	1.318061	0.0	discard	weight tying lm_head=wte (init bug)
fe086bb	1.319035	0.0	discard	VE on all layers (alternating already optimal)
1eec72e	1.327147	0.0	discard	GQA n_kv_head=n_head//2 (quality drop)
d70e5f5	1.309099	0.0	discard	WINDOW_PATTERN=SSSL (mask overhead on MPS)
e1add2d	1.314527	0.0	discard	DEPTH=5 ASPECT_RATIO=51 (too few steps)
65b6160	1.309842	0.0	discard	FINAL_LR_FRAC=0.1 (no improvement)
